code,lat,lon,total_flights
DFW,32.89595,-97.0372,596
ATL,33.64044,-84.42694,583
ORD,41.9796,-87.90446,556
DEN,39.85841,-104.667,551
CLT,35.21401,-80.94313,456
MCO,28.42889,-81.31603,398
LGA,40.77724,-73.87261,361
BOS,42.36435,-71.00518,323
EWR,40.6925,-74.16866,298
LAS,36.08036,-115.15233,293
PHX,33.43417,-112.00806,287
LAX,33.94254,-118.40807,276
DCA,38.85208,-77.03772,263
DTW,42.21206,-83.34884,248
MSP,44.88055,-93.21692,230
SEA,47.44898,-122.30931,223
SFO,37.619,-122.37484,201
MIA,25.79325,-80.29056,189
JFK,40.63975,-73.77893,187
SLC,40.78839,-111.97777,180
BNA,36.12448,-86.67818,171
BWI,39.1754,-76.6682,169
IAH,29.98047,-95.33972,168
PHL,39.87195,-75.24114,165
AUS,30.19453,-97.66987,153
SAN,32.73356,-117.18966,151
FLL,26.07258,-80.15275,151
MDW,41.78598,-87.75242,133
DAL,32.84711,-96.85177,118
TPA,27.97547,-82.53325,104
MCI,39.29761,-94.71391,103
STL,38.74769,-90.35999,101
RDU,35.87764,-78.78747,92
CLE,41.41089,-81.8494,88
SJU,18.43942,-66.00183,83
PDX,45.58872,-122.5975,78
MSY,29.99339,-90.25803,76
SAT,29.53369,-98.46978,75
IAD,38.94453,-77.45581,74
HNL,21.31869,-157.92241,73
SJC,37.36186,-121.92901,69
SNA,33.67566,-117.86822,69
CVG,39.04614,-84.66217,68
JAX,30.49406,-81.68786,67
PIT,40.49147,-80.23287,66
HOU,29.64542,-95.27889,66
IND,39.71733,-86.29438,66
CHS,32.89865,-80.04051,64
SMF,38.69542,-121.59077,64
OAK,37.72129,-122.22072,59
RSW,26.53617,-81.75517,56
BUR,34.20062,-118.3585,54
CMH,39.99799,-82.89188,53
MEM,35.04242,-89.97667,50
OGG,20.89865,-156.43047,50
MKE,42.94722,-87.89658,50
ORF,36.89461,-76.20122,45
BDL,41.93887,-72.68323,43
RIC,37.50517,-77.31967,43
PBI,26.68316,-80.09559,43
OMA,41.30252,-95.89417,41
ONT,34.056,-117.60119,40
GSP,34.89567,-82.21886,39
SDF,38.17439,-85.736,37
MYR,33.67975,-78.92833,37
ABQ,35.04022,-106.60919,35
GEG,47.61986,-117.53384,34
PVD,41.724,-71.42822,34
GRR,42.88082,-85.52277,34
OKC,35.39309,-97.60073,33
BOI,43.56444,-116.22278,33
BUF,42.94052,-78.73217,32
KOA,19.73877,-156.04562,31
DSM,41.53493,-93.66068,28
ELP,31.80667,-106.37781,28
SYR,43.11119,-76.10631,25
BHM,33.56294,-86.75355,24
